"spotify.id","name","genre","wikipedia.id","start.activity","popularity","followers"
"4CuMwzDzEdlUJMEna38VQ0","Dark Polo Gang","Hip hop",6459210,2014,64,604504
"3rVunNPZYdAk8CAptkKmHy","Dark Quarterer","Heavy metal",685670,1974,3,672
"7Gd5WhhkYzzlMgtkT46oPN","Datura","Italodance",909768,1991,27,1892
"3lNtjeCa1Z5VkSVjQ9GMk0","David Riondino","Musica d'autore",858560,1974,3,109
"6OcRPYh4wCE9disjqodtuK","Davide De Marinis","Rock",1633148,1999,13,400
"0atHZXIfonqsDokndQtegw","Davide Mogavero","Pop",5488429,2010,3,1094
"4OgLxelsX3F9vwM4JETwwM","Davide Van De Sfroos","Folk",79904,1992,37,19975
"17jVKTope5TIJoBQBTzaxj","DB Boulevard","Musica house",102105,2001,32,2631
"0IQrFbNvbs4LxhsbJMzsuv","De De Lind","Rock progressivo",1046290,1969,2,520
"6EKMsZMyYYRbQBdY32goKr","Dea Garbaccio","Musica leggera",1417733,1939,2,53
"2SWOP0LsgpQQZa8olP3Wup","Dear Jack","Pop rock",4993335,2012,34,26725
"3vGzTNl9WA5s5pgsUKBdDZ","Deasonika","Rock alternativo",1543292,2001,6,1628
"2G6Jj3r7Uux76wZXsykcht","Death SS","Heavy metal",269227,1977,14,3293
"1syX6SCTjW1fku8iUyQm2r","Deathless Legacy","Heavy metal",6784845,2006,9,953
